codigo,pir
11,BUBbBnBlBiBeBVBKBFA9AwAkAaATANAJAFACABBQBXBhBjBgBeBVBLBBA4AtAiAYARAMAIAEACAB
12,BsBzB5BpBgBbBPBBA2ArAjAcAVAQALAIAFACABBnBtB2BpBgBdBSBBA2ArAkAbAUAQALAHAFACAC
13,BsBxB1BpBiBdBSBDA4AuAlAbAUAOAKAHAEACABBpBsBxBpBhBdBSBDA2AsAjAcAUAPALAIAFACAC
14,BrBwB2BqBgBeBSBCA6AxAmAfAVAPAKAGAEACABBoBrBzBmBgBgBTBCA3AuAjAcASANAIAGAEACAB
15,BjBpBwBpBjBdBSBEA6AvAnAfAXASAMAIAEACABBfBlBsBnBjBeBRBDA4AuAmAfAXASANAJAFADAC
16,BqBvB3BtBmBdBRBGA4AsAjAZARAOAJAGADABABBnBqB1BuBnBiBUBGA3AqAhAZAQANAIAHAEACAC
17,BaBhBrBmBgBaBSBGA+A1ArAjAcAVAQAMAHADACBYBcBmBjBfBbBTBEA9AyAqAgAZAUAPAKAGADAC
21,BiBpBwBoBjBZBLA8A1AtAmAfAZAVAQAKAGADACBfBkBtBnBkBcBNA/A4AwAoAjAbAVARALAHAEAD
22,BRBZBlBiBgBXBNBAA6A0ArAkAeAXATAMAIAEACBOBVBhBgBiBaBRBEA/A5AxAqAhAbAVAPAKAFAD
23,BOBUBmBlBgBWBMBCA9A2ApAiAdAWASALAIAFACBLBRBjBkBjBaBQBHBDA7AwAoAiAbAWAPALAGAE
24,BMBSBeBfBiBaBOBFBBA6AsAhAeAWARALAIAFADBJBPBbBdBiBcBSBJBGA/AxAnAjAbAWAPAMAHAE
25,BPBVBeBeBbBVBNBDA+A2ArAjAfAYAUAMAJAFADBMBSBbBdBdBZBRBIBEA8AwArAmAeAaARANAHAF
26,BOBWBgBdBcBWBOBFA+A1ArAjAdAWARAKAHAEACBMBTBeBcBeBbBVBMBGA9AzArAkAcAXAPALAGAE
27,BZBiBuBkBaBUBMBAA6AxAnAhAbAUAOAIAFADACBWBfBrBlBgBbBTBIBBA3AuAnAeAXARANAIAEAD
28,BTBYBmBiBgBZBPBEA/A0AqAgAaATAOAJAGADACBQBVBjBiBiBeBWBLBFA6AvAmAfAXARANAJAEAD
29,BNBXBhBfBcBcBSBEA/A2AtAkAdAXARALAHAEACBLBTBeBeBeBfBVBIBCA5AyAoAhAaAUAPAKAFAE
31,BCBKBYBZBZBXBRBHBFBAA4AtAjAaAUANAIAEACBABIBVBXBYBXBSBKBIBEA8AxAmAeAYARALAGAD
32,BGBNBXBWBdBcBUBIBEA/A3AsAfAWARAMAHADACBFBKBVBVBbBcBWBLBHBDA7AvAiAaAVAPAKAFAD
33,A/BFBTBQBRBTBQBHBEBAA6AvAkAaAUANAIADABA9BDBQBPBSBXBWBOBLBJBEA4AuAiAcAVAOAHAE
35,BCBHBSBRBZBbBUBLBGA/A3AtAiAYASAMAHADABBABEBPBPBXBdBYBPBKBGA+AzAoAeAXARAMAGAD
41,BGBLBZBaBWBUBPBKBHBAA2AsAjAaATAMAHADABBDBIBVBYBWBVBSBNBMBGA8AxAmAdAWAPAKAFAC
42,BCBHBVBYBcBcBSBLBKBFA5AvAiAXARALAGADABBABEBSBWBZBaBSBMBLBIA8AxAlAbAUAPAJAFAC
43,A9BFBSBTBSBTBLBEBFBGA/A0AoAdAVAOAIADABA7BCBPBRBRBUBNBHBJBLBDA6AuAjAcAVAOAHAE
50,BQBTBcBdBbBYBRBJBEA+AzApAfAXASALAHADACBNBPBZBbBZBZBTBLBGBBA1ArAgAZASAMAHAEAC
51,BSBWBfBfBgBfBYBOBIA/AzAnAcAVAPAJAFACABBOBSBaBcBdBcBXBNBFA7AvAkAaATAOAJAFACAB
52,BKBQBaBZBdBcBYBOBGA8AxAnAeAWARAKAGADABBIBNBXBYBcBdBaBQBJA/A0AqAgAXASAMAHADAC
53,BLBPBWBUBeBjBcBOBFA4AsAhAXARANAHAEACABBIBNBUBXBhBtBoBYBNBCA0ApAfAVAQAKAGADAC
