codigo,pir
11,CzCaCIBzBkBTBDA1AvAkAgAWAPAKAFACABAAAACrCTCCBvBdBLA1ArAjAbAUAPAKAHADACABAAAA
12,C7CfCJBwBaBKA4AuAqAfAdAWAPAOAIAEABABAAC0CZCFByBbBGA1AtAiAaAXAPAMAMAGADABAAAA
13,C8CcCEBvBbBJA5AuAqAgAaATAOAMAHAEABAAAAC6CZCDByBcBJA2AsAmAdAXARANALAHAEABABAA
14,CyCSB7BuBfBZBIAzArAiAgAZARAMAHADABAAAACwCMB5BwBgBPA7AqAjAaAaARAMAKAEADABABAA
15,CxCXCEBuBeBLA6AxArAhAcAUAOAOAIAFACABAACsCTCDBxBcBIA3AvAnAeAZASAPANAJAGACABAB
16,DCCjCIBuBUBDAyAuAmAfAYARAMALAJAFABAAAADACfCKBzBcBGAzArAkAcAWANALANAKAGACAAAB
20,CNCMCQDDBdA9BOAnBAAbA5AZAGAAAAAAAAAAAACSCXBrBxBgBZA3ApA3AnAQAQAGAAAAAAAAAAAA
21,CxCTCDBuBSBBA3AwAsAiAcAVARAQALAGACABAACvCQCEBxBYBGA4AxArAhAaAUARAQALAHACABAB
22,CoCUCKB1BPA8AzAsAnAfAcAWARAQALAHACABABCnCSCNB7BZBFA4AvAqAhAdAVASARALAHADABAB
23,CYCKCIB3BNA9A2AtAqAfAfAaASARAMAIAEACABCWCICJB8BaBHA9AzAvAkAiAaATASAMAJAEACAB
24,CUCGCGB4BRA7A2AsAoAeAfAbAWAVAOAKAEACABCRCECHB9BZBFA+AzAuAiAiAcAWAUAOAKAEACAB
25,CZCNCHBzBIA3AwAqAoAeAfAcAXAXAPAKAEACABCXCLCIB3BUBDA6AzAwAkAkAeAYAWAOALAFACAB
26,CWCLCDBwBQA9A1AtArAhAgAaAVASAMAIADABABCUCKCEB2BaBJA9A1AyAmAjAbAWATAOAJAEACAB
27,ClCTCHBuBRBBA1AuAoAeAbAWASATAMAHADABABCmCSCHB0BZBGA4AxArAiAeAWATATANAHADABAB
28,CiCUCJByBOA+A0AsAlAdAaAXASATAOAIADABABCgCQCIB2BWBFA4AxAqAjAfAYAVATAPAKAEACAB
29,CkCRCFBvBUBAA2AuAqAgAeAXATARAMAHADABABCiCOCFBzBaBFA5AyAsAjAeAXATASAMAIADABAB
31,CIB9B8B3BjBNA9AzAwAnAiAaAUARAKAGADABAACEB6B7B5BkBOA+A1AwAoAiAaAVASALAHADABAB
32,COB+B8B5BpBSA8AxAtAmAhAYATAQALAHADABAACLB6B6B6BoBQA7AyAsAmAfAXASAQALAHADABAB
33,BwBnBlBqBmBXBIA6A3AvAqAgAXARALAHADABAABtBkBkBsBoBdBMA+A5AyAuAjAbAVAPAKAFACAB
35,B8BsBmBqBsBeBMA7A1AsAnAdAVAQAKAGADABAAB4BpBlBsBqBcBKA7A0AsAoAeAXASAMAIAEABAB
41,CICECEB4BeBNBAA2AyAoAiAZATAPAJAFACABAACFCACBB5BiBPBAA1AuAlAfAXARAOAIAFACABAB
42,CEB7CAB+BoBUBDA0AuAlAgAaATAPAJAGACABAAB+B4B8B9BmBSBAAzAsAlAgAaAUAPAKAGADABAB
43,ByBqBuByBlBVBHA6A0AtAnAeAYASAMAHADABAABuBmBrBzBnBXBIA8A1AvApAhAbAVAOAKAFACAB
50,CSCKCCB6BiBQBBA3AzAoAhAYASAPAJAFACABABCPCEB+B2BgBNA9AzArAhAbAUAPAMAHAFACABAB
51,ChCSCDB0BmBTBDA4AxAlAeAWARAOAHAEACABAACdCMB/B0BgBLA6AvAnAcAWAPANAKAGAEABABAA
52,CWCLCDB2BgBOBAA3AxAmAfAXARAOAJAFACABAACSCGCCB3BgBNA9AzAsAiAbAUAQAMAIAFACABAB
53,CXB3BuBtBrBdBKA6A0AjAaARAKAHAEACABAAAACRB0B0B/B5BnBQA8AwAhAaARAMAJAFADABAAAA
