cod,x1,y1,x2,y2
11,-66.8103,-13.6937,-59.7744,-7.9693
12,-73.9904,-11.1456,-66.6238,-7.1118
13,-73.8016,-9.818,-56.0976,2.2466
14,-64.8253,-1.5806,-58.8869,5.2718
15,-58.8983,-9.8412,-46.0609,2.591
16,-54.8763,-1.2362,-49.8762,4.4367
17,-50.7421,-13.4677,-45.6969,-5.1684
21,-48.7552,-10.2618,-41.7959,-1.044
22,-45.9943,-10.9288,-40.3705,-2.7393
23,-41.4235,-7.8576,-37.2533,-2.7842
24,-38.5821,-6.9827,-34.9685,-4.8316
25,-38.7656,-8.303,-34.7929,-6.0266
26,-41.3583,-9.4829,-32.3911,-3.8288
27,-38.2376,-10.5012,-35.152,-8.8131
28,-38.245,-11.5682,-36.3939,-9.515
29,-46.6171,-18.3486,-37.3411,-8.5328
31,-51.0459,-22.9228,-39.8568,-14.2332
32,-41.8796,-21.3018,-28.8359,-17.8919
33,-44.8893,-23.3689,-40.9585,-20.7632
35,-53.1101,-25.3123,-44.1614,-19.7799
41,-54.6193,-26.7171,-48.0235,-22.5164
42,-53.8369,-29.3548,-48.3271,-25.9558
43,-57.6438,-33.7521,-49.6915,-27.0823
50,-58.1685,-24.0686,-50.9229,-17.1666
51,-61.6334,-18.0416,-50.2248,-7.349
52,-53.2512,-19.4992,-45.907,-12.3958
53,-48.2858,-16.0503,-47.3084,-15.5003
