codigo,pir
11,BJBMBMBOBOBPBOBOBNBCA8A2ArAgAVANAJAEACBGBJBIBMBPBSBQBUBRBEA9A1AsAfAVAOAIAFAC
12,BXBcBdBhBfBSBKBLBHA6AvAlAeAXAQALAGADACBUBYBZBcBcBUBNBOBKA6AwAnAgAYARALAHADAC
13,BbBfBcBfBcBUBKBKBHA5AwAmAfAXAPAJAFACABBYBcBZBcBcBVBMBNBIA6AvAnAgAYAQAKAHADAC
14,BoBmBeBbBcBXBOBMBDA0AtAmAdAWAOAIAEACABBkBhBZBXBcBZBPBNBFA4AsAlAcAVANAHAFACAB
15,BPBUBXBbBYBRBNBPBKA8A0AqAjAbASAMAHADACBNBRBTBYBWBTBRBRBLA8A0ArAkAcATANAIAFAD
16,BcBeBbBeBgBUBNBLBFA4AwAlAcAVAOAJAFADABBYBaBWBcBfBXBRBRBIA8AwAmAeAWAOAKAGADAC
17,BOBPBQBTBSBNBKBNBMBBA3AwAnAfAXAPAKAFADBKBNBNBSBRBPBOBQBNBBA3AxAnAeAWAPAKAFAD
21,BNBSBYBcBUBLBKBOBHA5AxAqAjAcAVAOAJAFADBLBPBUBZBVBOBQBTBLA8A1AvAnAfAXAPALAGAE
22,BDBGBLBRBPBJBKBOBLA/A3AyApAgAaARALAGADBBBEBHBNBPBLBNBTBPBDA8A5AvAmAfAVAOAJAF
23,BDBHBIBLBQBQBNBNBJA9A4AyAoAeAYAQALAGADBABEBFBIBPBUBSBTBPBEA+A7AuAlAfAVAPAIAG
24,BABEBHBLBOBMBLBPBLA/A6A1AqAfAYAQALAFADA9BCBEBIBNBPBQBUBRBFBAA+AxAmAfAVAQAJAG
25,BEBHBKBMBMBJBIBMBKBAA5AzApAgAZARALAGADBCBEBGBJBMBMBNBRBQBGA/A8AwAnAhAXARAJAG
26,BDBJBKBNBPBJBIBKBKA/A4AxAoAeAXAPAJAFACBABGBHBKBPBNBPBTBRBIBBA8AyAoAfAVAOAIAF
27,BLBNBQBUBRBKBEBIBGA9A2AvAmAdAVAOAIAEACBIBJBOBRBUBRBOBSBPBGA+A4AtAjAbASAMAGAE
28,BEBJBNBPBQBMBIBLBLA+A5AwAmAdAVAOAIAEACBCBFBJBNBSBSBRBVBUBHBBA5AtAjAbASAMAHAF
29,BABGBJBNBMBFBEBNBQBBA6A0ArAhAaARALAFADA+BDBGBKBNBLBMBWBWBGBAA6AxAmAeAVAPAIAG
31,A7A+A/BDBLBKBKBMBOBCA/A6AzApAdATAMAGADA5A8A8BBBKBLBMBPBRBGBDBBA5AvAjAYARAKAG
32,BABEBCBDBJBIBKBPBQBCA9A4AxAnAbAQAKAFADA9BBA/BCBIBKBOBTBUBGBBA+A4AtAfAVAOAIAG
33,A4BAA+BABHBGBFBHBMBBA9A5A0ApAdARALAFACA2A/A6A+BIBKBMBQBVBJBGBEBAA2ApAbASALAH
35,A5BAA/BCBJBKBLBPBPBDA+A3AwAmAcARAKAFACA3A9A8A/BHBKBOBUBVBKBFBBA7AwAkAYAQAJAG
41,A+BEBCBEBKBNBLBLBKBCBAA6AwAmAbASAKAFACA8BBA/BBBJBOBNBOBOBGBFBBA4AtAhAXAOAIAE
42,A/BCA+BBBNBSBTBTBQBBA9A6AxAkAaAQAJAEACA8A/A8A+BKBRBTBUBQBEBBA/A2AqAfAUANAHAE
43,A5A/A7A/BGBHBHBKBKA/A+A/A5AuAiAVAMAGACA3A8A5A8BFBJBKBNBOBDBDBGBBA2AqAdATALAG
50,BKBMBKBJBLBOBMBNBLBAA7A0AsAhAYAPAJAFADBHBKBHBHBKBPBPBQBOBDA+A5AwAmAbASALAGAE
51,BOBPBKBLBQBTBSBTBPBCA7AzApAeAUANAIADACBMBMBHBJBOBTBSBTBOBCA6AyApAeAVANAIAEAC
52,BCBHBFBJBPBQBOBQBQBDA8A0AqAgAXAPAJAEACBABFBCBHBOBQBRBUBTBIBBA5AvAkAaARALAGAD
53,A8BCBBBLBSBPBMBPBVBFA7AwAkAcAUAMAIAEABA7BAA/BJBQBRBRBaBgBQBFA6AvAlAcATAMAHAE
