codigo,pir
11,BzB2B3BzBkBVBQBJA6AsAjAaAWAPALAGADABAABtByBzBwBjBXBOBEA2ApAeAWASAMAIAFACABAB
12,CMCBB8B4BlBPBDA3AvAmAdAWASAOALAHAEADABCHCAB4B4BmBRBEA4AuAkAcAWARAMAKAFAEADAB
13,CLCFB5B3BmBTBFA8AwAlAbAUAQAMAJAGADACAACJCDB3B3BnBTBDA6AuAkAaAUAQANAJAGADACAB
14,CJCDB7B0BjBTBMBDA3AqAfAVAQAMAHAFACABAACIB+B1B0BlBTBHA/AwAjAZARAMAJAHAFACACAB
15,CAB+B8B4BlBRBFA8AyApAfAYATAOAKAGADACABB7B5B4B2BjBRBFA6AwAmAeAYATAPAKAHAEACAB
16,CQCDB8B2BlBXBJA9AvAjAZATANALAHAFACACABCMB+B7B7BqBYBIA6AtAhAWATANALAIAEACACAB
17,B2B3B6B3BkBQBHA/A0AsAjAcAYASANAIAFACABByByB2ByBiBOBHA9AyAnAfAaAVAQALAHAEACAB
21,B8B5CDB/BiBGA8A1AtAmAfAaAXASAMAIAFACABB5B4CBB8BgBIBAA5AwAoAgAcAYASANAJAGADAC
22,BsBsB8B7BgBHBAA6AxAqAjAcAZASAPAKAGADABBoBpB6B4BiBMBFBAA2AuAmAfAcAVAQALAHADAC
23,BuBxB2BvBaBKBEA+AwAoAjAbAZASAPALAGADABBqBtB0BuBeBOBKBEA2AuAnAgAdAWATANAHAEAC
24,BmBoByBwBeBNBJBDAzAoAkAbAYARAQAMAIAEACBiBlBwBvBeBRBOBIA4AtApAhAdAVATAOAJAFAD
25,BkBpByByBdBJBDA9AwApAkAdAaATARAOAIAFACBhBmBwBwBfBOBKBCA2AvAqAkAiAYAVAQAKAFAD
26,BmBnBuBwBgBOBFA+AzAqAkAcAYASAPALAGADABBjBkBsBvBiBUBNBGA6AyArAjAfAYATAMAIAEAC
27,B4B0B2B1BhBLBCA6AvAoAiAZAUAQAMAIAFADABB2ByB2B1BjBQBJBAA1AsAkAdAZATAOAJAGADAC
28,BwBvB0BzBiBQBIA/AyAoAiAZAUAPALAJAGADABBsBsBxByBkBVBNBEA2AtAkAdAZATAPALAHAEAD
29,BmBrB0B7BlBMBFA+A1AqAjAcAXASAOAJAGADACBjBoBxB4BkBPBIBBA3AtAmAfAbAVARALAIAEAD
31,BcBgBlBqBfBPBMBJBAA0AqAgAbAVAPAKAFACABBZBcBiBnBdBQBOBMBDA3AsAjAeAZATAMAHAEAC
32,BeBfBoBsBiBRBOBKBCA1AnAdAYATAPAIAFACABBaBcBkBqBiBUBQBNBEA2ApAfAbAWAQAKAGAEAC
33,BWBUBVBbBZBPBLBLBEA5AuAjAdAXASALAFACABBTBSBTBcBcBTBRBTBMBCA2ApAkAfAZAQAJAFAD
35,BYBXBcBiBfBWBRBMBDA4AsAgAaAUAPAJAFACABBVBUBaBiBgBXBTBRBIA8AwAkAeAZAUANAHAEAC
41,BfBjBjBkBbBSBQBKA/A0ArAhAbAVAPAJAEACABBbBfBgBiBbBUBUBPBDA4AtAjAdAXARALAGADAB
42,BbBhBkBlBaBSBTBRBEA4ArAgAZATAOAIAEACABBXBdBgBjBZBSBUBSBFA5AtAhAcAWARALAGADAB
43,BWBZBbBgBVBLBMBOBGA8AxAmAeAXARAKAFACABBSBWBYBdBUBMBOBSBKA/A0ApAjAdAXAQAJAFAC
50,BkBpBqBqBeBSBNBJA9AyAnAfAaAUAOAJAFACABBhBmBnBoBdBVBQBNA/AyAnAfAZATAOAIAFADAC
51,BoBtBwBvBlBaBUBNA/AxAmAdAXAQALAGAEABABBkBpBrBqBjBYBRBIA6AsAhAZAUAOAJAFADACAB
52,BiBjBlBoBkBYBSBKA9AxAnAeAZASANAIAEACABBeBgBiBoBmBcBWBNA/AyAnAeAaASANAIAFACAB
53,BkBeBdBpBsBeBTBHA4AuAjAYAUALAIAEACABAABhBcBdBzB4BoBdBSBCA2ApAbAWAPAKAHAEACAB
