codigo,pir
11,C2CaB9BpBfBMBEA9A/AtAkAXALAHAFACACABAACxCXCABuBSBCA2AuApAdAUAMAKAGADACACAAAB
12,DCCuCIB3BXBBA3AxAtAlAdATANAIAFADADABAAC5CkCKBxBVA9AxAsAjAZATAQAJAGADACACABAB
13,C1CjCKBvBUBCA5AxAsAiAcAVAPAJAFADACABAAC1CeCKB3BZBCA2AvAmAeAXASANAJAFADACABAA
14,C1CiCOB6BXA/AzAyAxAqAeATAPAJAEACABABABCuCrCPB9BWA6AxAqAqAZAPAPAKAGAEACACAAAB
15,CxCbCFBwBWBEA5AyAsAiAcAWAQALAGADACABABCtCWCHB2BZBEA2AxAoAfAZAVARALAHAEADABAB
16,DFCkCOBuBOBBA1AxAsAeAYATAOAJAEACABAAAADBCiCSB0BUBBA1AwAjAYAWAQANAIAEACACABAB
20,C+DACgCJBNBXAyA1BVAlAfAAAGAAAGAAAAAAAAB/C+CUBaA3AtBABXAtANAIAFAAAAAAAKAAAAAA
21,CqCcCEBuBVBEA8AzAsAhAcAVASALAGADACABAACqCYCDB1BbBGA7A0ApAfAaAUARAKAHADADABAB
22,C1CiCIBrBRA9A0ArAnAfAZAXARAMAHAEACABAACzCfCKB0BbBBA4AvAoAeAbAXARALAIAEADABAB
23,CuCdB+BpBTA7A1AqApAjAbAXATANAKAFADABABCrCbCAByBeBEA8AwAsAjAbAXASANAKAGAEACAB
24,CsCbB8BjBQA5AxAoAqAlAgAaAVAPALAHAEACABCoCbCABtBeBDA7AvAuAmAfAZATAOALAGAEACAB
25,CpCWB9BoBLA1AwAoApAlAhAaAVAPALAGAEABABCoCXCBB1BeBCA8AxAvAoAhAaAUAPALAGAFACAB
26,CiCVB+BoBRA6A0AtAsAlAhAYAUANAJAEADABABCiCVCCB0BfBGA+A2AwAmAhAZAUANAKAFAEABAB
27,CtCYCABtBVA+AzArApAhAeAWAVAMAJAEADABABCuCZCCB3BcBFA4AzArAgAeAVAUAMAJAEADABAB
28,CsCeCEBuBMA4AsApAmAiAeAYAVAOALAEADABABCrCcCHB0BYBCA0AyAsAlAgAXAWAOALAFAFACAC
29,CqCaCDBoBQA9AzAtArAiAfAYATAMAIAEADABABCnCYCFBzBcBGA5A0AsAiAeAWATAMAJAFAEACAC
31,CWCVCIByBWBAA5A0AuAkAfAZATANAIAEACABABCTCTCHB3BbBEA7A2AuAkAfAYATANAIAEADABAB
32,CcCbCOB4BTA8A3A0AvAjAeAYATANAIAEADABABCYCWCNB8BYA/A4A1ArAgAaAVAQALAHAEADABAB
33,CLCPCABsBYBEBBA7A2ApAhAaAUAOAJAEACABAACICLB+BwBbBGBAA7AzAnAgAaATAOAJAFADABAB
34,BhBpBmBfBdBKBIBEBBAzAoAgAZARALAGADABAABeBoBoBuBlBRBOBLBGA3AtAmAeAXAQAKAGADAB
35,B9CBB2BoBgBNBHA/A6AsAjAcAWAPAKAFADABABB6B9B1BsBgBMBFA+A3ArAjAdAXAQALAGADABAB
41,CqCbCFBvBaBGBAA3AwAkAdAXARALAHADACABAACnCYCEByBYBBA5AzAoAfAZATAOAJAGADACABAB
42,CgCfCKB0BZBAA5AyArAjAeAXARANAIAEACABAACaCaCIB3BaA/A3AxAqAiAcAWARAMAIAFADABAB
43,CDCJB/BwBbBFA/A5AzApAjAbAVAPAJAFADABAAB/CGB8ByBeBHA/A7AzAqAjAdAWARAKAHAEACAB
51,CoCfCIByBcBLBCA3AxAlAeAYARAKAGADACABABCkCZCFByBYBDA3AwAlAcAXASAMAIAFACACABAB
52,CnCdCHBxBcBKA/A2AuAjAdAVAQAKAGADACABAAClCYCGB1BZBEA5AxAoAeAYASAOAJAFADACABAB
53,CrCVBpBjBrBZBYA9AxAfAVAQAKAFADABABAAAACmCRBwBuBsBdBLA4ApAcAUAQAKAGAEACABABAA
